,R,L
975,-2,-2
976,-5,-6
977,-6,-5
978,-6,-1
979,-3,-1
980,-1,-2
981,-3,-3
982,-5,-5
983,-3,-1
984,-4,1
985,0,2
986,0,4
987,0,5
988,-1,6
989,0,5
990,2,2
991,4,3
992,-2,4
993,-1,-1
994,-6,-5
995,-8,-8
996,-7,-11
997,-6,-9
998,-8,-8
999,-4,-5
1000,-4,0
1001,-2,4
1002,6,7
1003,10,7
1004,12,10
1005,13,12
1006,12,8
1007,10,7
1008,8,4
1009,5,0
1010,3,4
1011,1,0
1012,-1,-3
1013,-2,-3
1014,-5,-5
1015,-4,-4
1016,-4,-1
1017,-4,0
1018,-1,-1
1019,-1,1
1020,-5,0
1021,-4,-2
1022,-1,-3
1023,-4,-6
1024,-3,-7
1025,-4,-5
1026,1,-5
1027,-1,0
1028,4,3
1029,6,4
1030,6,6
1031,5,5
1032,3,4
1033,3,2
1034,1,4
1035,0,2
1036,1,2
1037,6,2
1038,5,-1
1039,0,-6
1040,-4,-8
1041,-9,-10
1042,-9,-10
1043,-9,-7
1044,-8,-6
1045,-4,-4
1046,-1,-5
1047,-3,-4
1048,-2,-2
1049,-1,-3
1050,-4,-2
1051,-3,-4
1052,-5,-4
1053,-6,-4
1054,-4,-5
1055,-4,-5
1056,-3,-7
1057,-5,-6
1058,-7,-6
1059,-4,-4
1060,-4,-3
1061,-3,-2
1062,-4,2
1063,0,4
1064,4,6
1065,6,9
1066,5,6
1067,4,5
1068,5,5
1069,4,7
1070,6,5
1071,5,3
1072,0,-1
1073,-5,-8
1074,-11,-11
1075,-16,-15
1076,-19,-17
1077,-16,-16
1078,-8,-13
1079,-8,-6
1080,0,1
1081,4,5
1082,6,7
1083,9,11
1084,12,11
1085,15,12
1086,15,11
1087,9,9
1088,3,6
1089,2,3
1090,4,0
1091,0,3
1092,1,0
1093,6,5
1094,6,7
1095,8,10
1096,8,10
1097,10,6
1098,6,3
1099,2,-4
1100,0,-5
1101,-2,-3
1102,0,-1
1103,-3,-1
1104,-2,0
1105,-5,-3
1106,-5,-2
1107,-6,-1
1108,-9,-1
1109,-8,0
1110,-5,-1
1111,-3,-3
1112,1,-6
1113,1,-6
1114,-1,-3
1115,1,1
1116,2,0
1117,2,-4
1118,3,-4
1119,-2,-7
1120,-5,-9
1121,-8,-8
1122,-7,-6
1123,-8,-2
1124,-4,2
1125,-1,1
1126,1,1
1127,0,-1
1128,-2,-2
1129,-1,-2
1130,-2,-2
1131,-2,-1
1132,3,-1
1133,3,-4
1134,3,-4
1135,-1,-4
1136,-4,-7
1137,-6,-7
1138,-8,-6
1139,-9,-7
1140,-8,-4
1141,-5,-3
1142,-3,-1
1143,-1,1
1144,1,2
1145,5,1
1146,4,1
1147,5,4
1148,6,6
1149,8,8
1150,7,8
1151,3,8
1152,4,6
1153,4,7
1154,3,7
1155,4,8
1156,7,8
1157,8,6
1158,4,4
1159,1,0
1160,-1,-5
1161,-3,-8
1162,-5,-10
1163,-9,-8
1164,-9,-9
1165,-9,-8
1166,-11,-7
1167,-11,-7
1168,-6,-2
1169,0,2
1170,1,6
1171,4,10
1172,5,11
1173,4,10
1174,2,6
1175,3,2
1176,1,-1
1177,3,0
1178,1,-4
1179,-1,-4
1180,-5,-6
1181,-8,-10
1182,-7,-9
1183,-7,-9
1184,-5,-7
1185,-3,-6
1186,-3,-4
1187,-6,-4
1188,-2,-2
1189,-1,-2
1190,6,0
1191,7,-1
1192,4,-3
1193,2,-5
1194,-2,-7
1195,-1,-5
1196,-1,-2
1197,3,0
1198,3,2
1199,3,4
1200,5,6
1201,6,4
1202,0,3
1203,-3,-1
1204,-6,-3
1205,-8,-4
1206,-7,-5
1207,-6,-6
1208,-6,-7
1209,-6,-8
1210,-5,-7
1211,-5,-2
1212,-3,3
1213,0,4
1214,2,5
1215,3,6
1216,2,4
1217,3,2
1218,-1,-2
1219,-5,-3
1220,-4,0
1221,-1,-3
1222,0,-3
1223,0,-8
1224,-3,-9
1225,-6,-10
1226,-8,-13
1227,-10,-10
1228,-9,-5
1229,-5,-1
1230,-3,1
1231,0,3
1232,1,4
1233,3,2
1234,1,2
1235,1,5
1236,2,4
1237,1,4
1238,4,2
1239,5,0
1240,5,-2
1241,1,0
1242,3,2
1243,2,2
1244,6,4
1245,6,6
1246,7,7
1247,5,9
1248,5,11
1249,8,11
1250,7,7
1251,7,7
1252,5,5
1253,8,9
1254,10,10
1255,11,8
1256,9,5
1257,8,2
1258,5,2
1259,1,0
1260,0,-1
1261,-6,-2
1262,-5,-5
1263,-6,-6
1264,-7,-5
1265,-9,-6
1266,-8,-7
1267,-7,-7
1268,-9,-4
1269,-6,0
1270,-5,5
1271,-1,5
1272,3,5
1273,6,5
1274,3,3
1275,2,3
1276,0,0
1277,-4,-3
1278,-7,-5
1279,-5,-2
1280,-4,-7
1281,-5,-8
1282,-7,-13
1283,-9,-13
1284,-10,-12
1285,-12,-14
1286,-11,-11
1287,-7,-10
1288,-7,-10
1289,-7,-8
1290,-7,-3
1291,-4,0
1292,-2,0
1293,-1,4
1294,2,4
1295,4,7
1296,8,9
1297,11,8
1298,10,5
1299,7,2
1300,3,0
1301,-1,-3
1302,-2,-5
1303,-5,-8
1304,-5,-9
1305,-4,-6
1306,-4,-3
1307,-2,-1
1308,4,2
1309,1,3
1310,3,5
1311,3,5
1312,5,6
1313,9,8
1314,11,9
1315,10,8
1316,10,7
1317,5,3
1318,2,4
1319,0,4
1320,-1,3
1321,1,3
1322,2,4
1323,2,4
1324,3,5
1325,-2,6
1326,0,5
1327,0,5
1328,4,3
1329,5,4
1330,6,4
1331,4,3
1332,0,3
1333,-2,-1
1334,-7,0
1335,-6,1
1336,-3,0
1337,-3,-1
1338,-6,-4
1339,-2,-1
1340,-2,-1
1341,-4,-1
1342,-1,2
1343,0,0
1344,0,-1
1345,0,-5
1346,0,-5
1347,-2,-5
1348,-4,-7
1349,-5,-4
1350,-5,0
1351,-3,5
1352,2,7
1353,4,7
1354,5,8
1355,7,6
1356,7,6
1357,6,4
1358,4,2
1359,4,-2
1360,4,-4
1361,2,-5
1362,2,-8
1363,-2,-7
1364,-3,-7
1365,-7,-6
1366,-7,-6
1367,-8,-5
1368,-9,-4
1369,-7,-4
1370,-6,-2
1371,-2,2
1372,2,2
1373,3,4
1374,2,2
1375,3,1
1376,5,1
1377,4,0
1378,4,2
1379,3,-3
1380,-2,-6
1381,-5,-7
1382,-6,-6
1383,-5,-2
1384,-5,1
1385,-1,3
1386,0,2
1387,2,2
1388,0,4
1389,0,2
1390,-1,0
1391,1,1
1392,0,-1
1393,0,1
1394,5,0
1395,5,1
1396,1,2
1397,-2,1
1398,-5,0
1399,-2,2
1400,-2,-1
1401,-1,-4
1402,-1,-7
1403,-2,-9
1404,-2,-9
1405,-5,-7
1406,-1,-7
1407,-1,-6
1408,0,-3
1409,0,1
1410,2,3
1411,4,5
1412,3,5
1413,1,7
1414,-1,7
1415,-3,6
1416,0,4
1417,0,4
1418,0,0
1419,-2,-5
1420,-6,-5
1421,-4,-4
1422,-6,-6
1423,-5,-6
1424,-8,-4
1425,-5,-3
1426,-3,-1
1427,-1,2
1428,2,1
1429,0,1
1430,0,1
1431,0,4
1432,2,5
1433,6,7
1434,7,6
1435,7,1
1436,5,0
1437,4,2
1438,5,-1
1439,4,1
1440,4,1
1441,1,0
1442,2,1
1443,1,-3
1444,-2,-3
1445,-6,-1
1446,-4,0
1447,-5,4
1448,-4,4
1449,-2,2
1450,0,-1
1451,-3,-2
1452,-2,-3
1453,-1,-2
1454,0,-2
1455,-2,-3
1456,-4,-4
1457,-6,-3
1458,-4,-3
1459,-2,-4
1460,-1,-2
1461,-1,-2
1462,0,0
1463,2,1
1464,-1,-2
1465,-1,-4
1466,1,-5
1467,1,-8
1468,-3,-11
1469,-4,-12
1470,-7,-11
1471,-8,-8
1472,-7,-6
1473,-4,-3
1474,-1,-2
1475,1,1
1476,2,0
1477,5,1
1478,1,0
1479,-1,1
1480,0,2
1481,4,3
1482,7,4
1483,9,3
1484,7,2
1485,2,0
1486,-1,0
1487,-3,-2
1488,-4,-4
1489,-6,-2
1490,-4,1
1491,-2,5
1492,-2,6
1493,-1,4
1494,-1,5
1495,-2,3
1496,1,3
1497,0,4
1498,2,2
1499,4,-1
1500,1,-2
1501,0,-2
1502,-1,-5
1503,-2,-3
1504,-6,-1
1505,-6,-2
1506,-4,0
1507,0,-2
1508,-1,1
1509,0,-1
1510,-1,-3
1511,-4,-5
1512,-5,-7
1513,-6,-8
1514,-4,-6
1515,0,-5
1516,0,-4
1517,1,-2
1518,4,1
1519,4,1
1520,6,2
1521,4,2
1522,2,1
1523,-1,0
1524,-2,-3
1525,-1,-6
1526,-2,-7
1527,-1,-6
1528,-3,-4
1529,-2,-3
1530,1,2
1531,5,0
1532,5,3
1533,6,5
1534,5,4
1535,3,4
1536,1,2
1537,0,0
1538,-1,-2
1539,0,-1
1540,-3,0
1541,1,0
1542,3,-3
1543,0,-4
1544,-5,-4
1545,-4,-4
1546,-4,-3
1547,-5,-3
1548,-4,-2
1549,-6,-2
1550,-5,-3
1551,-6,-3
1552,-7,-2
1553,-7,1
1554,-7,3
1555,-3,6
1556,-1,6
1557,2,4
1558,0,4
1559,1,3
1560,2,4
1561,-1,1
1562,-3,-2
1563,-6,-3
1564,-6,-2
1565,-6,-2
1566,-3,-1
1567,-1,2
1568,-2,2
1569,-1,2
1570,2,3
1571,0,2
1572,5,3
1573,9,2
1574,8,0
1575,4,-2
1576,3,-3
1577,0,-5
1578,1,-3
1579,3,-2
1580,2,0
1581,5,4
1582,6,3
1583,4,4
1584,1,2
1585,-2,1
1586,-3,-1
1587,-4,-2
1588,-3,-2
