,R,L
627,2,-1
628,2,-3
629,-3,0
630,-2,-4
631,-1,-3
632,-5,0
633,-1,2
634,2,6
635,2,9
636,7,9
637,9,3
638,3,-2
639,1,-5
640,-4,-5
641,-4,-5
642,-5,-4
643,-2,-4
644,-1,-4
645,-6,0
646,-2,-1
647,-2,-4
648,-4,-3
649,-2,1
650,3,4
651,9,8
652,13,7
653,10,4
654,3,2
655,-1,10
656,1,9
657,11,5
658,7,2
659,-1,3
660,1,3
661,2,6
662,-1,4
663,4,0
664,-7,2
665,-5,4
666,2,-1
667,1,-9
668,-3,-1
669,-6,-8
670,-6,-4
671,-11,1
672,0,-3
673,-3,-6
674,-4,-2
675,-1,1
676,4,-6
677,7,-5
678,0,-8
679,-5,-5
680,-4,-1
681,2,2
682,7,2
683,2,-3
684,0,2
685,-2,-4
686,3,-2
687,1,-6
688,0,-6
689,-9,-4
690,-1,5
691,0,12
692,9,8
693,13,7
694,8,8
695,7,9
696,8,10
697,10,12
698,6,11
699,9,11
700,7,15
701,12,13
702,14,7
703,6,5
704,0,-3
705,-2,-6
706,-10,-7
707,-8,-5
708,-9,-6
709,-10,2
710,-4,1
711,-1,-4
712,0,-4
713,0,-5
714,-2,-3
715,-5,0
716,-4,6
717,-3,3
718,-2,5
719,-2,6
720,-3,-4
721,-2,-9
722,-7,-14
723,-10,-16
724,-9,-13
725,-11,-14
726,-13,-18
727,-15,-16
728,-16,-16
729,-14,-10
730,-7,-12
731,-6,-8
732,-2,-8
733,1,-2
734,3,3
735,3,5
736,4,3
737,0,0
738,-1,2
739,-2,-4
740,-2,-4
741,5,-6
742,2,-5
743,0,-1
744,1,1
745,1,1
746,4,1
747,-1,0
748,4,0
749,0,3
750,5,1
751,2,0
752,2,7
753,5,5
754,8,11
755,7,6
756,2,7
757,5,5
758,0,4
759,1,7
760,2,3
761,0,3
762,1,4
763,1,4
764,-2,7
765,2,4
766,-2,0
767,-1,4
768,-2,2
769,-6,1
770,-2,-3
771,-4,-6
772,-7,-3
773,-7,-1
774,-4,4
775,3,6
776,8,10
777,6,13
778,7,13
779,7,12
780,9,8
781,3,6
782,3,6
783,4,9
784,5,10
785,13,11
786,15,15
787,15,11
788,9,15
789,10,13
790,14,53
791,90,115
792,117,17
793,-25,-115
794,-105,-19
795,-10,23
796,32,-85
797,-106,-13
798,26,32
799,56,13
800,-18,66
801,94,0
802,-46,-40
803,-61,-43
804,-19,-31
805,-17,4
806,-6,-64
807,-66,-121
808,-138,-87
809,-83,32
810,81,21
811,17,-37
812,-28,-23
813,7,0
814,18,-74
815,-80,-6
816,7,9
817,39,-86
818,-97,-125
819,-96,16
820,58,-12
821,-34,-3
822,7,-175
823,-187,147
824,198,217
825,203,36
826,91,516
827,569,344
828,234,199
829,84,-158
830,-319,-383
831,-480,-394
832,-454,-500
833,-445,-178
834,-54,160
835,297,137
836,234,286
837,346,479
838,461,353
839,219,-58
840,-216,-273
841,-316,-299
842,-357,-505
843,-509,-331
844,-235,-150
845,-36,18
846,112,70
847,120,-252
848,-310,-408
849,-166,618
850,674,-868
851,-1039,-124
852,124,39
853,143,-112
854,-147,288
855,330,-41
856,-63,391
857,340,-200
858,-394,-140
859,-82,-368
860,-472,-569
861,-658,-459
862,-190,18
863,-57,-912
864,-852,-82
865,26,-1603
866,-1581,-168
867,271,111
868,472,4328
869,5756,5134
870,4189,267
871,-573,467
872,246,3243
873,3391,5115
874,3551,1872
875,1141,2642
876,2436,935
877,-386,1866
878,1125,131
879,-1114,115
880,-781,-2534
881,-3030,-3472
882,-3466,-5015
883,-5022,-4421
884,-4211,-5606
885,-4559,-5696
886,-4951,-6302
