,R,L
792,-87,-75
793,-42,-77
794,12,-53
795,27,-22
796,-18,-12
797,-104,-40
798,-177,-98
799,-192,-152
800,-142,-168
801,-60,-133
802,2,-68
803,7,-15
804,-41,-4
805,-108,-41
806,-150,-99
807,-143,-141
808,-93,-144
809,-29,-108
810,17,-59
811,25,-24
812,-1,-19
813,-40,-41
814,-65,-68
815,-60,-78
816,-26,-62
817,16,-28
818,40,5
819,32,18
820,-1,6
821,-33,-21
822,-37,-43
823,-5,-41
824,47,-15
825,86,22
826,86,49
827,47,51
828,-8,33
829,-41,13
830,-29,10
831,23,29
832,78,61
833,96,83
834,60,80
835,-8,52
836,-58,17
837,-47,2
838,29,20
839,128,68
840,186,122
841,163,155
842,75,151
843,-19,114
844,-50,70
845,5,50
846,103,67
847,170,108
848,147,143
849,40,140
850,-86,91
851,-145,20
852,-97,-30
853,24,-29
854,139,23
855,170,92
856,102,132
857,-16,116
858,-105,56
859,-110,-7
860,-38,-33
861,56,-9
862,105,43
863,80,82
864,5,79
865,-60,40
866,-62,-5
867,8,-18
868,108,12
869,171,68
870,148,110
871,43,109
872,-87,61
873,-164,-9
874,-139,-61
875,-29,-66
876,97,-20
877,160,48
878,121,98
879,8,100
880,-107,54
881,-152,-14
882,-109,-65
883,-17,-71
884,55,-36
885,54,10
886,-21,29
887,-121,3
888,-182,-53
889,-167,-104
890,-90,-115
891,-7,-81
892,30,-27
893,3,13
894,-58,15
895,-100,-11
896,-88,-39
897,-27,-45
898,42,-24
899,71,8
900,44,29
901,-15,27
902,-64,6
903,-70,-18
904,-32,-32
905,19,-29
906,50,-12
907,41,8
908,2,21
909,-39,20
910,-60,5
911,-51,-16
912,-23,-31
913,4,-31
914,14,-18
915,5,-2
916,-17,3
917,-40,-10
918,-58,-35
919,-67,-58
920,-68,-66
921,-60,-56
922,-46,-35
923,-26,-19
924,-9,-18
925,0,-31
926,2,-43
927,5,-40
928,16,-16
929,31,20
930,35,47
931,15,48
932,-28,19
933,-67,-26
934,-75,-60
935,-42,-65
936,9,-41
937,36,-9
938,13,7
939,-48,-8
940,-99,-40
941,-93,-63
942,-22,-53
943,76,-10
944,143,43
945,138,74
946,71,72
947,-10,46
948,-53,23
949,-40,19
950,6,31
951,42,38
952,40,24
953,4,-6
954,-40,-34
955,-60,-39
956,-46,-19
957,-14,8
958,12,23
959,17,13
960,-2,-11
961,-28,-32
962,-45,-36
963,-41,-22
964,-18,-3
965,11,9
966,27,9
967,17,0
968,-16,-9
969,-52,-14
970,-69,-16
971,-55,-17
972,-21,-21
973,9,-27
974,10,-37
975,-21,-48
976,-65,-60
977,-90,-68
978,-76,-66
979,-30,-49
980,21,-23
981,45,3
982,27,13
983,-21,1
984,-71,-27
985,-98,-58
986,-92,-75
987,-65,-74
988,-37,-63
989,-26,-53
990,-36,-56
991,-60,-70
992,-84,-85
993,-94,-89
994,-87,-79
995,-65,-58
996,-37,-39
997,-13,-28
998,-5,-28
999,-11,-33
1000,-26,-35
1001,-38,-29
1002,-37,-17
1003,-23,-8
1004,-5,-9
1005,5,-22
1006,3,-41
1007,-7,-51
1008,-9,-42
1009,6,-15
1010,37,19
1011,71,42
1012,90,47
1013,85,39
1014,62,29
1015,34,30
1016,17,41
1017,18,53
1018,34,57
1019,54,50
1020,69,40
1021,71,36
1022,61,41
1023,46,50
1024,35,55
1025,33,53
1026,40,48
1027,46,43
1028,42,39
1029,27,30
1030,6,16
1031,-11,-2
1032,-15,-14
1033,-8,-13
1034,1,0
1035,5,12
1036,1,13
1037,-9,1
1038,-16,-16
1039,-16,-23
1040,-7,-16
1041,6,-1
1042,17,9
1043,20,7
1044,13,-4
1045,-1,-12
1046,-15,-10
1047,-21,-1
1048,-13,5
1049,7,3
1050,29,-4
1051,39,-6
1052,30,2
1053,5,13
1054,-19,16
1055,-28,5
1056,-15,-15
1057,10,-31
1058,31,-31
1059,34,-15
1060,19,3
1061,-2,11
1062,-11,5
1063,-2,-6
1064,18,-7
1065,34,5
1066,33,23
1067,15,31
1068,-9,20
1069,-24,-4
1070,-20,-25
1071,-3,-27
1072,16,-12
1073,22,9
1074,13,20
1075,-6,13
1076,-21,-5
1077,-22,-21
1078,-11,-24
1079,3,-14
1080,10,-1
1081,6,6
1082,-3,0
1083,-7,-12
1084,0,-19
1085,16,-15
1086,27,0
1087,25,18
1088,11,27
1089,-6,20
1090,-12,3
1091,-2,-14
1092,17,-19
1093,33,-7
1094,37,15
1095,28,33
1096,14,34
1097,6,19
1098,8,-3
1099,16,-15
1100,21,-10
1101,19,9
1102,11,28
1103,4,35
1104,3,25
1105,10,8
1106,20,-3
1107,30,1
1108,37,16
1109,43,32
1110,49,37
1111,54,30
1112,55,18
1113,52,14
1114,45,23
1115,39,41
1116,35,54
1117,36,55
1118,40,42
1119,42,23
1120,41,12
1121,35,14
1122,28,26
1123,23,39
1124,21,44
1125,24,38
1126,30,28
1127,35,22
1128,35,21
1129,28,22
1130,15,21
1131,3,17
1132,-3,14
1133,0,16
1134,9,23
1135,17,29
1136,18,28
1137,11,19
1138,2,9
1139,0,7
1140,8,15
1141,20,27
1142,26,33
1143,20,28
1144,3,12
1145,-17,-4
1146,-29,-13
1147,-29,-14
1148,-21,-11
1149,-14,-10
1150,-15,-12
1151,-21,-15
1152,-25,-15
1153,-23,-11
1154,-14,-5
1155,-5,-2
1156,-3,-4
1157,-7,-8
1158,-16,-11
1159,-22,-11
1160,-21,-10
1161,-15,-9
1162,-6,-9
1163,1,-10
1164,3,-9
1165,0,-6
1166,-8,-6
1167,-16,-11
1168,-23,-20
1169,-25,-28
1170,-22,-29
1171,-17,-20
1172,-14,-7
1173,-14,3
1174,-17,3
1175,-16,-5
1176,-10,-13
1177,1,-13
1178,9,-5
1179,9,4
1180,-1,7
1181,-14,1
1182,-21,-7
1183,-19,-11
1184,-10,-8
1185,-1,-1
1186,2,3
1187,-1,2
1188,-2,-3
1189,3,-5
1190,14,1
1191,25,11
1192,28,20
1193,22,22
1194,15,17
1195,13,11
1196,19,7
1197,29,8
1198,33,10
1199,27,10
1200,13,7
1201,0,4
1202,-5,3
1203,3,5
1204,16,9
1205,27,11
1206,29,10
1207,26,9
1208,21,9
1209,22,13
1210,26,19
1211,31,24
1212,29,24
1213,21,18
1214,12,10
1215,9,3
1216,13,0
1217,19,3
1218,20,10
1219,10,15
1220,-7,13
1221,-23,1
1222,-26,-13
1223,-15,-23
1224,3,-22
1225,16,-9
1226,16,5
1227,5,12
1228,-7,6
1229,-10,-8
1230,-3,-18
1231,10,-14
1232,17,3
1233,14,23
1234,3,34
1235,-7,27
1236,-10,6
1237,-7,-16
1238,-2,-27
1239,-4,-22
1240,-14,-8
1241,-26,3
1242,-34,1
1243,-36,-14
1244,-33,-33
1245,-31,-46
1246,-32,-46
1247,-35,-34
1248,-33,-20
1249,-26,-11
1250,-17,-12
1251,-12,-19
1252,-16,-26
1253,-26,-26
1254,-32,-18
1255,-28,-5
1256,-14,6
1257,3,11
1258,13,8
1259,11,0
1260,0,-9
1261,-9,-12
1262,-9,-5
1263,3,9
1264,19,22
1265,30,28
1266,30,23
1267,20,11
1268,8,2
1269,2,2
1270,3,13
1271,5,26
1272,1,28
1273,-11,14
1274,-28,-11
1275,-38,-33
1276,-34,-41
1277,-17,-29
1278,0,-7
1279,3,11
1280,-9,12
1281,-28,-2
1282,-36,-20
1283,-24,-26
1284,1,-13
1285,18,12
1286,10,31
1287,-22,28
1288,-54,1
1289,-57,-31
1290,-20,-45
1291,39,-27
1292,84,17
1293,80,59
1294,28,71
1295,-39,43
1296,-75,-8
1297,-57,-46
1298,-1,-49
1299,48,-16
1300,51,25
1301,7,40
1302,-49,20
1303,-68,-19
1304,-27,-41
1305,50,-22
1306,112,28
1307,116,77
1308,59,91
1309,-15,63
1310,-49,16
1311,-15,-12
1312,64,2
1313,131,48
1314,137,91
1315,69,97
1316,-32,58
1317,-101,-2
1318,-96,-42
1319,-22,-38
1320,72,5
1321,122,54
1322,95,73
1323,7,51
1324,-87,4
1325,-129,-37
1326,-100,-49
1327,-27,-33
1328,38,-9
1329,55,2
1330,20,-4
1331,-34,-19
1332,-71,-28
1333,-70,-26
1334,-42,-18
1335,-11,-13
1336,0,-15
1337,-12,-21
1338,-38,-25
1339,-65,-27
1340,-80,-32
1341,-80,-41
1342,-65,-53
1343,-44,-58
1344,-24,-48
1345,-12,-26
1346,-6,-1
1347,-3,16
1348,1,16
1349,7,4
1350,8,-12
1351,4,-18
1352,-2,-12
1353,-5,2
1354,-4,11
1355,-3,6
1356,-7,-12
1357,-15,-31
1358,-17,-35
1359,-5,-18
1360,18,11
1361,36,33
1362,33,33
1363,8,11
1364,-21,-16
1365,-31,-30
1366,-11,-21
1367,27,2
1368,56,21
1369,55,24
1370,26,10
1371,-11,-7
1372,-32,-14
1373,-25,-6
1374,2,9
1375,29,17
1376,41,13
1377,34,1
1378,19,-7
1379,11,-2
1380,18,14
1381,38,32
1382,58,42
1383,64,40
1384,50,29
1385,22,18
1386,-6,13
1387,-21,11
1388,-17,11
1389,2,8
1390,22,6
1391,31,6
1392,24,12
1393,6,18
1394,-12,20
1395,-19,14
1396,-13,0
1397,0,-14
1398,9,-21
1399,9,-18
1400,1,-9
1401,-9,-1
1402,-14,-1
1403,-13,-7
1404,-9,-17
1405,-6,-24
1406,-9,-25
1407,-16,-25
1408,-25,-27
1409,-30,-33
1410,-30,-39
1411,-24,-42
1412,-14,-36
1413,-3,-24
1414,6,-13
1415,7,-8
1416,-2,-11
1417,-19,-20
1418,-36,-27
1419,-44,-29
1420,-40,-27
1421,-28,-26
1422,-16,-30
1423,-13,-39
1424,-22,-49
1425,-36,-54
1426,-46,-53
1427,-45,-48
1428,-34,-42
1429,-20,-36
1430,-8,-31
1431,-4,-26
1432,-5,-21
1433,-7,-18
1434,-7,-16
1435,-4,-15
1436,0,-11
1437,3,-3
1438,1,3
1439,-3,1
1440,-10,-10
1441,-16,-28
1442,-19,-42
1443,-18,-44
1444,-14,-32
1445,-11,-15
1446,-11,-7
1447,-14,-14
1448,-18,-32
1449,-21,-48
1450,-20,-50
1451,-15,-36
1452,-10,-14
1453,-6,0
1454,-6,-2
1455,-7,-16
1456,-7,-30
1457,-3,-34
1458,3,-23
1459,8,-8
1460,8,2
1461,3,1
1462,-4,-7
1463,-8,-14
1464,-7,-14
1465,-3,-9
1466,2,-6
1467,3,-8
1468,0,-13
1469,-5,-16
1470,-6,-11
1471,-1,0
1472,8,8
1473,18,9
1474,22,2
1475,18,-6
1476,8,-8
1477,-3,-2
1478,-7,8
1479,-1,14
1480,13,13
1481,26,8
1482,30,5
1483,22,8
1484,10,15
1485,4,22
1486,12,26
1487,31,26
1488,50,25
1489,56,28
1490,45,31
1491,26,34
1492,12,33
1493,12,30
1494,25,29
1495,39,32
1496,44,36
1497,36,36
1498,22,31
1499,13,22
1500,15,15
1501,26,15
1502,36,21
1503,38,28
1504,27,30
1505,11,24
1506,-3,13
1507,-8,3
1508,-5,0
1509,0,2
1510,3,8
1511,2,10
1512,-1,8
1513,-3,1
1514,0,-4
1515,3,-6
1516,6,-1
1517,7,7
1518,6,15
1519,4,19
1520,1,17
1521,-4,11
1522,-9,3
1523,-12,-2
1524,-8,-1
1525,0,5
1526,9,12
1527,13,15
1528,9,13
1529,-1,7
1530,-10,1
1531,-12,-1
1532,-5,2
1533,5,8
1534,13,14
1535,15,15
1536,12,13
1537,7,8
1538,1,5
1539,-4,5
1540,-10,7
1541,-13,7
1542,-12,4
1543,-6,-3
1544,3,-8
1545,7,-9
1546,4,-4
1547,-5,4
1548,-12,10
1549,-12,10
1550,-2,6
1551,11,0
1552,16,-1
1553,10,4
1554,0,12
1555,-6,19
1556,0,19
1557,14,14
1558,25,6
1559,24,1
1560,11,0
1561,-6,4
1562,-14,9
1563,-9,12
1564,6,13
1565,18,10
1566,22,7
1567,15,5
1568,5,5
1569,0,7
1570,1,7
1571,5,6
1572,6,2
1573,2,-2
1574,-4,-4
1575,-9,-5
1576,-10,-5
1577,-10,-4
1578,-12,-4
1579,-14,-4
1580,-16,-3
1581,-13,0
1582,-7,3
1583,-1,4
1584,1,2
1585,-2,-2
1586,-4,-6
1587,-3,-6
1588,4,1
1589,13,10
1590,16,17
1591,12,19
1592,2,14
1593,-5,7
1594,-6,3
1595,-2,5
1596,3,10
1597,4,12
1598,1,7
1599,-4,-5
1600,-8,-16
1601,-10,-18
1602,-12,-10
1603,-13,6
1604,-12,18
1605,-7,19
1606,3,10
1607,13,0
1608,19,-2
1609,17,6
1610,8,17
1611,-2,22
1612,-8,15
1613,-9,0
1614,-6,-13
1615,-1,-15
1616,1,-5
1617,-2,7
1618,-7,13
1619,-13,8
1620,-16,-4
1621,-16,-14
1622,-13,-15
1623,-11,-9
1624,-11,0
1625,-12,4
1626,-13,4
1627,-13,0
1628,-14,-3
1629,-15,-4
1630,-17,-5
1631,-17,-5
1632,-12,-7
1633,-4,-7
1634,3,-6
1635,5,-4
1636,-2,-4
1637,-13,-6
1638,-21,-10
1639,-19,-14
1640,-9,-14
1641,4,-11
1642,10,-5
1643,5,0
1644,-7,2
1645,-17,0
1646,-15,-6
1647,-2,-9
1648,14,-9
1649,21,-3
1650,13,4
1651,-3,7
1652,-19,3
1653,-23,-7
1654,-14,-17
1655,2,-22
1656,13,-17
1657,15,-7
1658,7,3
1659,-2,7
1660,-6,6
1661,0,5
1662,12,7
1663,24,14
1664,29,20
1665,27,20
1666,19,13
1667,12,4
1668,7,-2
1669,8,2
1670,12,12
1671,18,21
1672,22,24
1673,22,19
1674,18,11
1675,10,6
1676,4,9
1677,3,17
1678,9,25
1679,19,28
1680,29,23
1681,30,13
1682,23,3
1683,8,-2
1684,-5,-1
1685,-9,6
1686,-2,14
1687,11,20
1688,22,20
1689,23,15
1690,13,9
